,PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
1,AJ Hammons,DAL,24,84.00,260,Purdue,USA,2016,2,46,22,2.2,1.6,0.2,-0.6,0.049,0.199,0.167,0.472,0.038
2,Aaron Brooks,IND,32,72.00,161,Oregon,USA,2007,1,26,65,5,1.1,1.9,-3,0.022,0.064,0.191,0.507,0.216
3,Aaron Gordon,ORL,21,81.00,220,Arizona,USA,2014,1,4,80,12.7,5.1,1.9,-2.8,0.054,0.141,0.2,0.53,0.097
4,Aaron Harrison,CHA,22,78.00,210,Kentucky,USA,Undrafted,Undrafted,Undrafted,5,0.2,0.6,0.6,-18.6,0,0.2,0.142,0.102,0.375
5,Adreian Payne,MIN,26,82.00,237,Michigan State,USA,2014,1,15,18,3.5,1.8,0.4,0.8,0.069,0.2,0.224,0.505,0.089
6,Al Horford,BOS,31,82.00,245,Florida,Dominican Rep...,2007,1,3,68,14,6.8,5,5,0.049,0.183,0.199,0.553,0.239
7,Al Jefferson,IND,32,82.00,289,None,USA,2004,1,15,66,8.1,4.2,0.9,-5.8,0.086,0.251,0.26,0.526,0.114
8,Al-Farouq Aminu,POR,26,81.00,220,Wake Forest,USA,2010,1,8,61,8.7,7.4,1.6,1.8,0.049,0.232,0.158,0.506,0.082
9,Alan Anderson,LAC,34,78.00,220,Michigan State,USA,Undrafted,Undrafted,Undrafted,30,2.9,0.8,0.4,-10.8,0.011,0.077,0.142,0.494,0.052
10,Alan Williams,PHX,24,80.00,260,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,47,7.4,6.2,0.5,-0.3,0.138,0.293,0.206,0.547,0.049
11,Alec Burks,UTA,25,78.00,214,Colorado,USA,2011,1,12,42,6.7,2.9,0.7,0.1,0.029,0.18,0.219,0.501,0.074
12,Alex Abrines,OKC,23,78.00,190,None,Spain,2013,2,32,68,6,1.3,0.6,-2.3,0.019,0.074,0.157,0.56,0.055
13,Alex Len,PHX,24,85.00,260,Maryland,Ukraine,2013,1,5,77,8,6.6,0.6,-11.1,0.104,0.251,0.176,0.553,0.043
14,Alex Poythress,PHI,23,79.00,238,Kentucky,USA,Undrafted,Undrafted,Undrafted,6,10.7,4.8,0.8,-9.6,0.073,0.137,0.166,0.548,0.052
15,Alexis Ajinca,NOP,29,86.00,248,None,France,2008,1,20,39,5.3,4.5,0.3,-4.7,0.084,0.225,0.171,0.529,0.031
16,Allen Crabbe,POR,25,78.00,215,California,USA,2013,2,31,79,10.7,2.9,1.2,-2.8,0.009,0.105,0.149,0.602,0.063
17,Alonzo Gee,DEN,30,78.00,225,Alabama,USA,Undrafted,Undrafted,Undrafted,13,0.8,1.2,0.5,1.4,0.046,0.136,0.108,0.306,0.092
18,Amir Johnson,BOS,30,81.00,240,None,USA,2005,2,56,80,6.5,4.6,1.8,8,0.084,0.169,0.138,0.628,0.125
19,Anderson Varejao,GSW,34,83.00,273,None,Brazil,2004,2,30,14,1.3,1.9,0.7,-8.4,0.133,0.188,0.124,0.478,0.152
20,Andre Drummond,DET,23,83.00,279,Connecticut,USA,2012,1,9,81,13.6,13.8,1.1,-6.3,0.146,0.373,0.224,0.518,0.06
21,Andre Iguodala,GSW,33,78.00,215,Arizona,USA,2004,1,9,76,7.6,4,3.4,13.4,0.03,0.131,0.113,0.624,0.169
22,Andre Roberson,OKC,25,79.00,210,Colorado,USA,2013,1,26,79,6.6,5.1,1,2.8,0.046,0.138,0.1,0.51,0.045
23,Andrew Bogut,CLE,32,84.00,260,Utah,Australia,2005,1,1,27,2.9,8.1,1.8,-1.7,0.103,0.32,0.106,0.46,0.133
24,Andrew Harrison,MEM,22,78.00,213,Kentucky,USA,2015,2,44,72,5.9,1.9,2.8,-0.3,0.017,0.09,0.164,0.477,0.209
25,Andrew Nicholson,BKN,27,81.00,250,St. Bonaventure,Canada,2012,1,19,38,2.6,1.6,0.3,-17.6,0.05,0.156,0.178,0.427,0.047
26,Andrew Wiggins,MIN,22,80.00,199,Kansas,Canada,2014,1,1,82,23.6,4,2.3,-0.5,0.039,0.087,0.288,0.534,0.104
27,Anthony Bennett,BKN,24,80.00,235,Nevada-Las Vegas,Canada,2013,1,1,23,5,3.4,0.5,-10.6,0.104,0.207,0.191,0.533,0.075
28,Anthony Brown,ORL,24,79.00,211,Stanford,USA,2015,2,34,11,3.9,3,0.7,1.3,0.048,0.163,0.158,0.43,0.08
29,Anthony Davis,NOP,24,83.00,253,Kentucky,USA,2012,1,1,75,28,11.8,2.1,1.7,0.067,0.269,0.326,0.58,0.11
30,Anthony Morrow,CHI,31,77.00,210,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,49,5.5,0.6,0.5,-1.8,0.018,0.03,0.161,0.505,0.052
31,Anthony Tolliver,SAC,32,80.00,240,Creighton,USA,Undrafted,Undrafted,Undrafted,65,7.1,3.6,1.2,-4.8,0.041,0.148,0.135,0.595,0.077
32,Archie Goodwin,BKN,22,77.00,205,Kentucky,USA,2013,1,29,15,7.3,1.9,1.6,-5.4,0.039,0.106,0.209,0.651,0.186
33,Arinze Onuaku,ORL,29,81.00,255,Syracuse,USA,Undrafted,Undrafted,Undrafted,8,0.5,0.8,0.3,-30.5,0.069,0.211,0.103,0.5,0.143
34,Aron Baynes,DET,30,82.00,260,Washington State,Australia,Undrafted,Undrafted,Undrafted,75,4.9,4.4,0.4,5.2,0.108,0.206,0.143,0.57,0.039
35,Arron Afflalo,SAC,31,77.00,210,UCLA,USA,2007,1,27,61,8.4,2,1.3,-7.7,0.007,0.087,0.147,0.559,0.077
36,Austin Rivers,LAC,24,76.00,200,Duke,USA,2012,1,10,74,12,2.2,2.8,-0.1,0.011,0.076,0.203,0.545,0.155
37,Avery Bradley,BOS,26,74.00,180,Texas,USA,2010,1,19,55,16.3,6.1,2.2,1.2,0.04,0.161,0.218,0.548,0.107
38,Axel Toupane,NOP,24,79.00,210,None,France,Undrafted,Undrafted,Undrafted,4,2.8,0.3,0,-6.8,0,0.023,0.086,0.611,0
39,Ben Bentil,DAL,22,81.00,235,Providence,Ghana,2016,2,51,3,0,0.7,0,-44,0,0.25,0.184,0,0
40,Ben McLemore,SAC,24,77.00,195,Kansas,USA,2013,1,7,61,8.1,2.1,0.8,-6.5,0.019,0.106,0.201,0.538,0.068
41,Beno Udrih,DET,34,75.00,205,None,Slovenia,2004,1,28,39,5.8,1.5,3.4,5.4,0.012,0.102,0.201,0.535,0.364
42,Bismack Biyombo,ORL,24,81.00,255,None,Democratic Re...,2011,1,7,81,6,7,0.9,-9.4,0.094,0.256,0.135,0.546,0.065
43,Blake Griffin,LAC,28,82.00,251,Oklahoma,USA,2009,1,1,61,21.6,8.1,4.9,10.6,0.064,0.204,0.278,0.569,0.235
44,Boban Marjanovic,DET,28,87.00,290,None,Serbia,Undrafted,Undrafted,Undrafted,35,5.5,3.7,0.3,1.9,0.166,0.313,0.248,0.606,0.054
45,Bobby Brown,HOU,32,74.00,175,Cal State-Fullerton,USA,Undrafted,Undrafted,Undrafted,25,2.5,0.2,0.6,-12.1,0,0.05,0.234,0.509,0.175
46,Bobby Portis,CHI,22,83.00,246,Arkansas,USA,2015,1,22,64,6.8,4.6,0.5,-4.3,0.078,0.242,0.193,0.545,0.059
47,Bojan Bogdanovic,WAS,28,80.00,225,None,Bosnia,2011,2,31,81,13.7,3.4,1.4,-7,0.02,0.124,0.224,0.585,0.086
48,Boris Diaw,UTA,35,80.00,250,None,France,2003,1,21,73,4.6,2.2,2.3,2.4,0.043,0.103,0.158,0.494,0.207
49,Bradley Beal,WAS,24,77.00,207,Florida,USA,2012,1,3,77,23.1,3.1,3.5,5.6,0.022,0.078,0.263,0.604,0.154
50,Brandan Wright,MEM,29,82.00,210,North Carolina,USA,2007,1,8,28,6.8,2.8,0.5,3.9,0.078,0.115,0.166,0.628,0.06
51,Brandon Bass,LAC,32,80.00,250,Louisiana State,USA,2005,2,33,52,5.6,2.5,0.4,-13,0.086,0.165,0.2,0.65,0.063
52,Brandon Ingram,LAL,19,81.00,190,Duke,USA,2016,1,2,79,9.4,4,2.1,-8,0.028,0.128,0.169,0.474,0.105
53,Brandon Jennings,WAS,27,73.00,170,None,USA,2009,1,10,81,7.1,2.4,4.9,-3,0.018,0.1,0.175,0.479,0.308
54,Brandon Knight,PHX,25,75.00,195,Kentucky,USA,2011,1,8,54,11,2.2,2.4,-12.1,0.023,0.094,0.253,0.502,0.194
55,Brandon Rush,MIN,31,78.00,225,Kansas,USA,2008,1,13,47,4.2,2.1,1,-0.8,0.019,0.089,0.097,0.505,0.058
56,Brian Roberts,CHA,31,73.00,173,Dayton,USA,Undrafted,Undrafted,Undrafted,41,3.5,1,1.3,-7,0.013,0.094,0.186,0.51,0.214
57,Briante Weber,CHA,24,74.00,165,Virginia Commonwealth,USA,Undrafted,Undrafted,Undrafted,20,3.1,1.3,1.1,-10.8,0.043,0.126,0.173,0.462,0.168
58,Brice Johnson,LAC,23,82.00,230,North Carolina,USA,2016,1,25,3,1.3,1,0.3,44.9,0.143,0.222,0.385,0.286,0.167
59,Brook Lopez,BKN,29,84.00,268,Stanford,USA,2008,1,10,75,20.5,5.4,2.3,-4.2,0.058,0.13,0.29,0.578,0.143
60,Bruno Caboclo,TOR,21,81.00,205,None,Brazil,2014,1,20,9,1.6,1.1,0.4,6.2,0.109,0.139,0.192,0.438,0.154
61,Bryn Forbes,SAS,23,75.00,190,Michigan State,USA,Undrafted,Undrafted,Undrafted,36,2.6,0.6,0.6,-8.7,0.007,0.082,0.181,0.462,0.146
62,Buddy Hield,SAC,23,76.00,214,Oklahoma,Bahamas,2016,1,6,82,10.6,3.3,1.5,-5.5,0.02,0.134,0.214,0.541,0.101
63,C.J. Watson,ORL,33,74.00,175,Tennessee,USA,Undrafted,Undrafted,Undrafted,62,4.5,1.4,1.8,-9.9,0.017,0.084,0.142,0.507,0.174
64,CJ McCollum,POR,25,75.00,190,Lehigh,USA,2013,1,10,80,23,3.6,3.6,1.2,0.024,0.09,0.274,0.585,0.175
65,CJ Miles,IND,30,78.00,225,None,USA,2005,2,34,76,10.7,3,0.6,0.8,0.019,0.129,0.183,0.592,0.041
66,CJ Wilcox,ORL,26,77.00,195,Washington,USA,2014,1,28,22,1,0.5,0.5,-13.1,0.033,0.087,0.149,0.329,0.174
67,Cameron Payne,CHI,22,75.00,185,Murray State,USA,2015,1,14,31,5.2,1.5,1.8,-8.7,0.007,0.111,0.215,0.407,0.195
68,Caris LeVert,BKN,22,79.00,203,Michigan,USA,2016,1,20,57,8.2,3.3,1.9,-2.7,0.02,0.141,0.164,0.556,0.132
69,Carmelo Anthony,NYK,33,80.00,240,Syracuse,USA,2003,1,3,74,22.4,5.9,2.9,-5,0.026,0.16,0.29,0.535,0.141
70,Chandler Parsons,MEM,28,82.00,230,Florida,USA,2011,2,38,34,6.2,2.5,1.6,-3.6,0.01,0.141,0.184,0.436,0.122
71,Channing Frye,CLE,34,83.00,255,Arizona,USA,2005,1,8,74,9.1,3.9,0.6,1,0.031,0.19,0.196,0.612,0.05
72,Chasson Randle,NYK,24,74.00,185,Stanford,USA,Undrafted,Undrafted,Undrafted,26,5.3,1.2,1.3,-3.4,0.022,0.097,0.197,0.586,0.173
73,Cheick Diallo,NOP,20,81.00,220,Kansas,Mali,2016,2,33,17,5.1,4.3,0.2,-9.4,0.115,0.286,0.203,0.51,0.031
74,Chinanu Onuaku,HOU,20,82.00,245,Louisville,USA,2016,2,37,5,2.8,2,0.6,-41.4,0.049,0.17,0.108,0.799,0.086
75,Chris Andersen,CLE,38,82.00,245,Blinn,USA,Undrafted,Undrafted,Undrafted,12,2.3,2.6,0.4,4.3,0.098,0.191,0.136,0.497,0.063
76,Chris McCullough,WAS,22,81.00,215,Syracuse,USA,2015,1,29,16,2.3,1.2,0.1,26.8,0.129,0.123,0.198,0.526,0.036
77,Chris Paul,LAC,32,72.00,175,Wake Forest,USA,2005,1,4,61,18.1,5,9.2,14.9,0.025,0.149,0.243,0.614,0.444
78,Christian Wood,CHA,21,83.00,220,Nevada-Las Vegas,USA,Undrafted,Undrafted,Undrafted,13,2.7,2.2,0.2,5.5,0.149,0.143,0.153,0.591,0.031
79,Clint Capela,HOU,23,82.00,240,None,Switzerland,2014,1,25,65,12.6,8.1,1,7.8,0.127,0.25,0.201,0.638,0.066
80,Cody Zeller,CHA,24,84.00,240,Indiana,USA,2013,1,4,62,10.3,6.5,1.6,5.4,0.085,0.176,0.154,0.604,0.087
81,Cole Aldrich,MIN,28,83.00,250,Kansas,USA,2010,1,11,62,1.7,2.5,0.4,-0.2,0.11,0.248,0.094,0.549,0.063
82,Corey Brewer,LAL,31,81.00,186,Florida,USA,2007,1,7,82,4.5,2,1.2,3,0.027,0.118,0.145,0.491,0.104
83,Cory Joseph,TOR,25,75.00,190,Texas,Canada,2011,1,29,80,9.3,2.9,3.3,2,0.029,0.104,0.183,0.518,0.2
84,Courtney Lee,NYK,31,77.00,200,Western Kentucky,USA,2008,1,22,77,10.8,3.4,2.3,-4.9,0.023,0.092,0.145,0.559,0.104
85,Cristiano Felicio,CHI,24,81.00,266,None,Brazil,Undrafted,Undrafted,Undrafted,66,4.8,4.7,0.6,-0.1,0.131,0.199,0.126,0.603,0.061
86,D'Angelo Russell,LAL,21,77.00,195,Ohio State,USA,2015,1,2,63,15.6,3.5,4.8,-8.7,0.018,0.12,0.267,0.518,0.269
87,D.J. Augustin,ORL,29,72.00,183,Texas,USA,2008,1,9,78,7.9,1.5,2.7,-15.1,0.01,0.077,0.199,0.524,0.237
88,Dahntay Jones,CLE,36,78.00,225,Duke,USA,2003,1,20,1,9,2,1,4.3,0.077,0.091,0.414,0.461,0.2
89,Damian Jones,GSW,22,84.00,245,Vanderbilt,USA,2016,1,30,10,1.9,2.3,0,-14.9,0.113,0.222,0.138,0.466,0
90,Damian Lillard,POR,26,75.00,195,Weber State,USA,2012,1,6,75,27,4.9,5.9,1.2,0.018,0.134,0.309,0.586,0.277
91,Damjan Rudez,ORL,31,82.00,228,None,Croatia,Undrafted,Undrafted,Undrafted,45,1.8,0.6,0.4,-17.3,0.017,0.079,0.138,0.466,0.101
92,Daniel Ochefu,WAS,23,83.00,245,Villanova,USA,Undrafted,Undrafted,Undrafted,19,1.3,1.2,0.2,-20.5,0.077,0.288,0.19,0.43,0.07
93,Danilo Gallinari,DEN,28,82.00,225,None,Italy,2008,1,6,63,18.2,5.2,2.1,2.7,0.021,0.144,0.2,0.622,0.09
94,Danny Green,SAS,30,78.00,215,North Carolina,USA,2009,2,46,68,7.3,3.3,1.8,7.8,0.02,0.116,0.137,0.537,0.097
95,Dante Cunningham,NOP,30,80.00,230,Villanova,USA,2009,2,33,66,6.6,4.2,0.6,-0.3,0.036,0.144,0.108,0.586,0.031
96,Dante Exum,UTA,21,78.00,190,None,Australia,2014,1,5,66,6.2,2,1.7,2,0.029,0.091,0.181,0.521,0.144
97,Danuel House,WAS,24,79.00,215,Texas A&M,USA,Undrafted,Undrafted,Undrafted,1,0,1,0,0,0,1,0,0,0
98,Dario Saric,PHI,23,82.00,223,None,Croatia,2014,1,12,81,12.8,6.3,2.2,-7.2,0.059,0.207,0.244,0.508,0.145
99,Darrell Arthur,DEN,29,81.00,235,Kansas,USA,2008,1,27,41,6.4,2.7,1,-0.4,0.043,0.155,0.18,0.583,0.099
100,Darren Collison,SAC,29,72.00,175,UCLA,USA,2009,1,21,68,13.2,2.2,4.6,-4.2,0.013,0.074,0.2,0.57,0.243
101,Darrun Hilliard,DET,24,78.00,205,Villanova,USA,2015,2,38,39,3.3,0.8,0.8,-0.1,0.006,0.092,0.196,0.459,0.133
102,David Lee,SAS,34,81.00,245,Florida,USA,2005,1,30,79,7.3,5.6,1.6,11,0.118,0.211,0.166,0.613,0.126
103,David Nwaba,LAL,24,76.00,209,None,USA,Undrafted,Undrafted,Undrafted,20,6,3.2,0.7,2.2,0.049,0.131,0.12,0.611,0.048
104,David West,GSW,36,81.00,250,Xavier,USA,2003,1,18,68,4.6,3,2.2,9.1,0.069,0.192,0.194,0.571,0.26
105,Davis Bertans,SAS,24,82.00,210,None,Latvia,2011,2,42,67,4.5,1.5,0.7,6.3,0.031,0.105,0.155,0.609,0.084
106,DeAndre Jordan,LAC,28,83.00,265,Texas A&M,USA,2008,2,35,81,12.7,13.8,1.2,9.7,0.136,0.343,0.153,0.673,0.054
107,DeAndre Liggins,DAL,29,78.00,209,Kentucky,USA,2011,2,53,62,2.5,1.7,0.9,2.8,0.029,0.124,0.116,0.476,0.097
108,DeAndre' Bembry,ATL,22,78.00,210,Saint Joseph's,USA,2016,1,21,38,2.7,1.6,0.7,-3.4,0.042,0.138,0.15,0.481,0.123
109,DeMar DeRozan,TOR,27,79.00,220,Southern California,USA,2009,1,9,74,27.3,5.2,3.9,3.3,0.03,0.134,0.342,0.552,0.204
110,DeMarcus Cousins,NOP,26,83.00,270,Kentucky,USA,2010,1,5,72,27,11,4.6,-2.2,0.072,0.305,0.364,0.562,0.262
111,DeMarre Carroll,TOR,30,80.00,212,Missouri,USA,2009,1,27,72,8.9,3.8,1,3.3,0.038,0.126,0.156,0.53,0.056
112,Dejounte Murray,SAS,20,77.00,170,Washington,USA,2016,1,29,38,3.4,1.1,1.3,2.9,0.023,0.117,0.241,0.503,0.236
113,Delon Wright,TOR,25,77.00,190,Utah,USA,2015,1,20,27,5.6,1.8,2.1,8.8,0.042,0.084,0.167,0.535,0.204
114,Demetrius Jackson,BOS,22,73.00,201,Notre Dame,USA,2016,2,45,5,2,0.8,0.6,6.3,0.091,0.118,0.172,0.753,0.3
115,Dennis Schroder,ATL,23,73.00,172,None,Germany,2013,1,17,79,17.9,3.1,6.3,-2,0.019,0.088,0.276,0.533,0.34
116,Denzel Valentine,CHI,23,78.00,212,Michigan State,USA,2016,1,14,57,5.1,2.6,1.1,-0.5,0.012,0.161,0.156,0.492,0.095
117,Deron Williams,CLE,33,75.00,200,Illinois,USA,2005,1,3,64,11,2.3,5.6,-2.8,0.009,0.096,0.224,0.541,0.35
118,Derrick Favors,UTA,25,82.00,265,Georgia Tech,USA,2010,1,3,50,9.5,6.1,1.1,2.8,0.092,0.205,0.208,0.512,0.079
119,Derrick Jones Jr.,PHX,20,79.00,190,Nevada-Las Vegas,USA,Undrafted,Undrafted,Undrafted,32,5.3,2.5,0.4,4.4,0.076,0.078,0.117,0.604,0.03
120,Derrick Rose,NYK,28,75.00,190,Memphis,USA,2008,1,1,64,18,3.8,4.4,-3.9,0.034,0.092,0.256,0.53,0.216
121,Derrick Williams,CLE,26,80.00,240,Arizona,USA,2011,1,2,50,6.1,2.6,0.6,-3.2,0.026,0.15,0.177,0.537,0.054
122,Devin Booker,PHX,20,78.00,206,Kentucky,USA,2015,1,13,78,22.1,3.2,3.4,-4.4,0.018,0.082,0.284,0.531,0.16
123,Devin Harris,DAL,34,75.00,185,Wisconsin,USA,2004,1,5,65,6.7,2,2.1,2.1,0.011,0.126,0.194,0.549,0.197
124,Dewayne Dedmon,SAS,27,84.00,245,Southern California,USA,Undrafted,Undrafted,Undrafted,76,5.1,6.5,0.6,8.4,0.114,0.302,0.122,0.645,0.049
125,Deyonta Davis,MEM,20,82.00,240,Michigan State,USA,2016,2,31,36,1.6,1.7,0.1,-7.2,0.088,0.185,0.119,0.528,0.015
126,Diamond Stone,LAC,20,83.00,255,Maryland,USA,2016,2,40,7,1.4,0.9,0,-58.7,0.037,0.2,0.324,0.339,0
127,Dion Waiters,MIA,25,76.00,220,Syracuse,USA,2012,1,4,46,15.8,3.3,4.3,2.8,0.015,0.107,0.264,0.507,0.234
128,Dirk Nowitzki,DAL,39,84.00,245,None,Germany,1998,1,9,54,14.2,6.5,1.5,-1.7,0.018,0.267,0.255,0.529,0.099
129,Domantas Sabonis,OKC,21,83.00,240,Gonzaga,Lithuania,2016,1,11,81,5.9,3.6,1,0.2,0.032,0.164,0.158,0.469,0.073
130,Donatas Motiejunas,NOP,26,84.00,222,None,Lithuania,2011,1,20,34,4.4,3,0.9,-11.1,0.057,0.18,0.174,0.47,0.096
131,Dorian Finney-Smith,DAL,24,80.00,220,Florida,USA,Undrafted,Undrafted,Undrafted,81,4.3,2.7,0.8,-1.4,0.037,0.124,0.117,0.486,0.061
132,Doug McDermott,OKC,25,80.00,219,Creighton,USA,2014,1,11,66,9,2.7,0.9,-3.1,0.015,0.117,0.165,0.554,0.06
133,Dragan Bender,PHX,19,85.00,225,None,Bosnia,2016,1,4,43,3.4,2.4,0.5,-2,0.043,0.155,0.148,0.44,0.057
134,Draymond Green,GSW,27,79.00,230,Michigan State,USA,2012,2,35,76,10.2,7.9,7,15.9,0.046,0.205,0.16,0.522,0.272
135,Dwight Howard,ATL,31,83.00,265,None,USA,2004,1,1,74,13.5,12.7,1.4,-2,0.153,0.31,0.191,0.627,0.076
136,Dwight Powell,DAL,25,83.00,240,Stanford,Canada,2014,2,45,77,6.7,4,0.6,-6.4,0.077,0.202,0.166,0.588,0.062
137,Dwyane Wade,CHI,35,76.00,220,Marquette,USA,2003,1,5,60,18.3,4.5,3.8,-2.4,0.037,0.125,0.293,0.508,0.221
138,E'Twaun Moore,NOP,28,76.00,191,Purdue,USA,2011,2,55,73,9.6,2.1,2.2,-2.4,0.019,0.07,0.174,0.537,0.138
139,Ed Davis,POR,28,82.00,245,North Carolina,USA,2010,1,13,46,4.3,5.3,0.6,-5.9,0.128,0.213,0.119,0.563,0.05
140,Edy Tavares,CLE,25,87.00,265,None,Cabo Verde,2014,2,43,2,4,5.5,0.5,15.2,0.16,0.241,0.137,0.633,0.071
141,Elfrid Payton,ORL,23,76.00,185,Louisiana-Lafayette,USA,2014,1,10,82,12.8,4.7,6.5,-2.7,0.039,0.136,0.213,0.52,0.329
142,Elijah Millsap,PHX,29,79.00,215,Alabama-Birmingham,USA,Undrafted,Undrafted,Undrafted,2,1.5,3,0.5,-1.8,0.125,0.15,0.199,0.19,0.067
143,Emmanuel Mudiay,DEN,21,77.00,200,None,Democratic Re...,2015,1,7,55,11,3.2,3.9,-5.5,0.023,0.116,0.224,0.483,0.222
144,Enes Kanter,OKC,25,83.00,245,Kentucky,Switzerland,2011,1,3,72,14.3,6.7,0.9,-0.1,0.147,0.21,0.275,0.599,0.078
145,Eric Bledsoe,PHX,27,73.00,205,Kentucky,USA,2010,1,18,66,21.1,4.8,6.3,-4.1,0.025,0.139,0.28,0.563,0.309
146,Eric Gordon,HOU,28,76.00,215,Indiana,USA,2008,1,7,75,16.2,2.7,2.5,6.2,0.014,0.078,0.22,0.557,0.125
147,Ersan Ilyasova,ATL,30,82.00,235,None,Turkey,2005,2,36,82,13.1,5.9,1.7,-0.9,0.059,0.184,0.22,0.546,0.107
148,Evan Fournier,ORL,24,79.00,205,None,France,2012,1,20,68,17.2,3.1,3,-4.9,0.021,0.081,0.233,0.555,0.144
149,Evan Turner,POR,28,79.00,220,Ohio State,USA,2010,1,2,65,9,3.8,3.2,-4.5,0.024,0.144,0.186,0.491,0.196
150,Frank Kaminsky,CHA,24,84.00,240,Wisconsin,USA,2015,1,9,75,11.7,4.5,2.2,0.9,0.033,0.158,0.22,0.502,0.131
151,Fred VanVleet,TOR,23,72.00,195,Wichita State,USA,Undrafted,Undrafted,Undrafted,37,2.9,1.1,0.9,12.1,0.015,0.13,0.205,0.443,0.18
152,Garrett Temple,SAC,31,78.00,195,Louisiana State,USA,Undrafted,Undrafted,Undrafted,65,7.8,2.8,2.6,-5.1,0.022,0.101,0.142,0.545,0.146
153,Gary Harris,DEN,22,76.00,210,Michigan State,USA,2014,1,19,57,14.9,3.1,2.9,1,0.031,0.083,0.185,0.611,0.129
154,Gary Neal,ATL,32,76.00,210,Towson,USA,Undrafted,Undrafted,Undrafted,2,2,0.5,0.5,-18,0,0.077,0.201,0.228,0.125
155,Gary Payton II,MIL,24,75.00,190,Oregon State,USA,Undrafted,Undrafted,Undrafted,6,3.3,2,2.2,-26.5,0,0.148,0.162,0.413,0.224
156,George Hill,UTA,31,75.00,188,Indiana Purdue-Indianapolis,USA,2008,1,26,49,16.9,3.4,4.2,8.6,0.017,0.105,0.236,0.599,0.227
157,Georges Niang,IND,24,80.00,230,Iowa State,USA,2016,2,50,23,0.9,0.7,0.2,-5.3,0.021,0.169,0.189,0.285,0.074
158,Georgios Papagiannis,SAC,19,85.00,240,None,Greece,2016,1,13,22,5.6,3.9,0.9,-6.2,0.09,0.183,0.169,0.573,0.085
159,Gerald Green,BOS,31,79.00,205,None,USA,2005,1,18,47,5.6,1.8,0.7,1.3,0.032,0.14,0.229,0.524,0.1
160,Gerald Henderson,PHI,29,77.00,215,Duke,USA,2009,1,12,72,9.2,2.6,1.6,-8.4,0.022,0.104,0.179,0.529,0.108
161,Giannis Antetokounmpo,MIL,22,83.00,222,None,Greece,2013,1,15,80,22.9,8.8,5.4,1.5,0.058,0.226,0.283,0.599,0.269
162,Glenn Robinson III,IND,23,78.00,222,Michigan,USA,2014,2,40,69,6.1,3.6,0.7,-1.9,0.046,0.144,0.129,0.564,0.048
163,Goran Dragic,MIA,31,75.00,190,None,Slovenia,2008,2,45,73,20.3,3.8,5.8,0.6,0.028,0.098,0.268,0.575,0.283
164,Gordon Hayward,UTA,27,80.00,226,Butler,USA,2010,1,9,73,21.9,5.4,3.5,7.1,0.023,0.152,0.276,0.595,0.179
165,Gorgui Dieng,MIN,27,83.00,240,Louisville,Senegal,2013,1,21,82,10,7.9,1.9,0.2,0.082,0.202,0.141,0.555,0.086
166,Greg Monroe,MIL,27,83.00,265,Georgetown,USA,2010,1,7,81,11.7,6.6,2.3,3.7,0.112,0.237,0.242,0.572,0.165
167,Greivis Vasquez,BKN,30,78.00,217,Maryland,Venezuela,2010,1,28,3,2.3,0.7,1.7,-18.7,0,0.051,0.11,0.376,0.185
168,Harrison Barnes,DAL,25,80.00,225,North Carolina,USA,2012,1,7,79,19.2,5,1.5,-2.1,0.037,0.132,0.255,0.541,0.076
169,Hassan Whiteside,MIA,28,84.00,265,Marshall,USA,2010,2,33,77,17,14.1,0.7,1.3,0.129,0.349,0.226,0.579,0.037
170,Henry Ellenson,DET,20,83.00,245,Marquette,USA,2016,1,18,19,3.2,2.2,0.4,-2,0.056,0.234,0.248,0.444,0.074
171,Hollis Thompson,NOP,26,80.00,206,Georgetown,USA,Undrafted,Undrafted,Undrafted,40,5.1,2.8,0.9,-6,0.028,0.128,0.133,0.482,0.072
172,Ian Clark,GSW,26,75.00,175,Belmont,USA,Undrafted,Undrafted,Undrafted,77,6.8,1.6,1.2,3.1,0.023,0.09,0.198,0.575,0.122
173,Ian Mahinmi,WAS,30,83.00,262,None,France,2005,1,28,31,5.6,4.8,0.6,0.3,0.098,0.204,0.14,0.601,0.05
174,Iman Shumpert,CLE,27,77.00,220,Georgia Tech,USA,2011,1,17,76,7.5,2.9,1.4,1.9,0.023,0.098,0.142,0.536,0.08
175,Isaiah Canaan,CHI,26,72.00,201,Murray State,USA,2013,2,34,39,4.6,1.3,0.9,-6.8,0.01,0.082,0.156,0.483,0.099
176,Isaiah Taylor,HOU,22,75.00,170,Texas,USA,Undrafted,Undrafted,Undrafted,4,0.8,0.8,0.8,-14.6,0.021,0.041,0.065,0.19,0.07
177,Isaiah Thomas,BOS,28,69.00,185,Washington,USA,2011,2,60,76,28.9,2.7,5.9,5,0.019,0.07,0.337,0.625,0.305
178,Isaiah Whitehead,BKN,22,76.00,213,Seton Hall,USA,2016,2,42,73,7.4,2.5,2.6,-2.9,0.021,0.093,0.183,0.487,0.173
