,PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
307,Marc Gasol,MEM,32,85.00,255,None,Spain,2007,2,48,74,19.5,6.3,4.6,1.4,0.027,0.19,0.267,0.554,0.246
308,Marcelo Huertas,LAL,34,75.00,200,None,Brazil,Undrafted,Undrafted,Undrafted,23,2.7,1,2.3,-12.3,0.009,0.116,0.171,0.417,0.311
309,Marcin Gortat,WAS,33,83.00,240,None,Poland,2005,2,57,82,10.8,10.4,1.5,2.8,0.104,0.269,0.147,0.593,0.065
310,Marco Belinelli,CHA,31,77.00,210,None,Italy,2007,1,18,74,10.5,2.4,2,-0.1,0.009,0.104,0.193,0.566,0.131
311,Marcus Georges-Hunt,ORL,23,78.00,220,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,5,2.8,1.8,0.6,-25,0.022,0.163,0.124,0.614,0.13
312,Marcus Morris,DET,27,81.00,235,Kansas,USA,2011,1,14,79,14,4.6,2,-2.8,0.031,0.127,0.202,0.508,0.095
313,Marcus Smart,BOS,23,76.00,220,Oklahoma State,USA,2014,1,6,79,10.6,3.9,4.6,2.5,0.036,0.107,0.185,0.486,0.226
314,Marcus Thornton,WAS,30,76.00,205,Louisiana State,USA,2009,2,43,33,6.6,2.3,1.2,-12.7,0.043,0.12,0.188,0.494,0.108
315,Mario Hezonja,ORL,22,80.00,218,None,Croatia,2015,1,5,65,4.9,2.2,1,-15.1,0.021,0.151,0.191,0.45,0.11
316,Markieff Morris,WAS,27,82.00,245,Kansas,USA,2011,1,13,76,14,6.5,1.7,3.9,0.051,0.18,0.204,0.54,0.076
317,Marquese Chriss,PHX,19,82.00,233,Washington,USA,2016,1,8,82,9.2,4.2,0.7,-10.8,0.058,0.164,0.196,0.529,0.051
318,Marreese Speights,LAC,29,82.00,255,Florida,USA,2008,1,16,82,8.7,4.5,0.8,-2.4,0.077,0.245,0.239,0.584,0.085
319,Marshall Plumlee,NYK,24,84.00,250,Duke,USA,Undrafted,Undrafted,Undrafted,21,1.9,2.4,0.5,-1.9,0.144,0.193,0.125,0.521,0.082
320,Marvin Williams,CHA,31,81.00,237,North Carolina,USA,2005,1,2,76,11.2,6.6,1.4,-0.5,0.042,0.202,0.163,0.551,0.072
321,Mason Plumlee,DEN,27,83.00,255,Duke,USA,2013,1,22,81,10.4,7.5,3.5,0,0.09,0.222,0.181,0.558,0.187
322,Matt Barnes,GSW,37,79.00,226,UCLA,USA,2002,2,45,74,7.1,5.2,2.6,-2.5,0.045,0.2,0.156,0.514,0.162
323,Matthew Dellavedova,MIL,26,76.00,198,Saint Mary's (CA),Australia,Undrafted,Undrafted,Undrafted,76,7.6,1.9,4.7,-1.1,0.014,0.072,0.161,0.501,0.259
324,Maurice Harkless,POR,24,81.00,220,St. John's (NY),USA,2012,1,15,77,10,4.4,1.1,3.4,0.062,0.107,0.151,0.57,0.056
325,Maurice Ndour,NYK,25,81.00,200,Ohio U.,Senegal,Undrafted,Undrafted,Undrafted,32,3.1,2,0.3,-1.4,0.073,0.149,0.145,0.503,0.037
326,Metta World Peace,LAL,37,79.00,260,St. John's (NY),USA,1999,1,16,25,2.3,0.8,0.4,-17.7,0.031,0.118,0.225,0.38,0.113
327,Meyers Leonard,POR,25,85.00,255,Illinois,USA,2012,1,11,74,5.4,3.2,1,-2.6,0.024,0.194,0.157,0.507,0.085
328,Michael Beasley,MIL,28,82.00,235,Kansas State,USA,2008,1,2,56,9.4,3.4,0.9,-1.6,0.051,0.186,0.248,0.584,0.096
329,Michael Carter-Williams,CHI,25,78.00,190,Syracuse,USA,2013,1,11,45,6.6,3.4,2.5,-0.8,0.029,0.169,0.207,0.437,0.203
330,Michael Gbinije,DET,25,79.00,200,Syracuse,USA,2016,2,49,9,0.4,0.3,0.2,-1.8,0.057,0.037,0.157,0.184,0.087
331,Michael Kidd-Gilchrist,CHA,23,79.00,232,Kentucky,USA,2012,1,2,81,9.2,7,1.4,1.6,0.071,0.194,0.146,0.528,0.074
332,Mike Conley,MEM,29,73.00,175,Ohio State,USA,2007,1,4,69,20.5,3.5,6.3,3.1,0.015,0.108,0.263,0.604,0.329
333,Mike Dunleavy,ATL,36,81.00,230,Duke,USA,2002,1,3,53,5.2,2.2,0.9,-4.3,0.024,0.124,0.141,0.573,0.097
334,Mike Miller,DEN,37,80.00,218,Florida,USA,2000,1,5,20,1.4,1.9,1.1,-3.3,0.016,0.261,0.104,0.586,0.195
335,Mike Muscala,ATL,25,83.00,240,Bucknell,USA,2013,2,44,70,6.2,3.4,1.4,-3.1,0.069,0.15,0.149,0.596,0.121
336,Mike Scott,ATL,28,80.00,237,Virginia,USA,2012,2,43,18,2.5,2.1,0.9,-8.5,0.053,0.171,0.165,0.36,0.15
337,Mike Tobey,CHA,22,84.00,260,Virginia,USA,Undrafted,Undrafted,Undrafted,2,1,1.5,0.5,-27.3,0.083,0.043,0.105,0.25,0.091
338,Miles Plumlee,CHA,28,83.00,249,Duke,USA,2012,1,26,45,2.5,2.1,0.5,-5.9,0.093,0.127,0.131,0.518,0.065
339,Mindaugas Kuzminskas,NYK,27,81.00,215,None,Lithuania,Undrafted,Undrafted,Undrafted,68,6.3,1.9,1,-1.2,0.05,0.084,0.188,0.533,0.102
340,Mirza Teletovic,MIL,31,81.00,245,None,Bosnia,Undrafted,Undrafted,Undrafted,70,6.4,2.3,0.7,3.4,0.011,0.15,0.191,0.515,0.063
341,Monta Ellis,IND,31,75.00,185,None,USA,2005,2,40,74,8.5,2.8,3.2,-0.5,0.011,0.103,0.169,0.514,0.171
342,Montrezl Harrell,HOU,23,80.00,240,Louisville,USA,2015,2,32,58,9.1,3.8,1.1,3.5,0.084,0.137,0.176,0.662,0.097
343,Myles Turner,IND,21,83.00,243,Texas,USA,2015,1,11,81,14.5,7.3,1.3,3.2,0.064,0.192,0.197,0.585,0.065
344,Nemanja Bjelica,MIN,29,82.00,225,None,Serbia,2010,2,35,65,6.2,3.8,1.2,1.3,0.053,0.184,0.164,0.526,0.102
345,Nene,HOU,34,83.00,250,None,Brazil,2002,1,7,67,9.1,4.2,1,6.6,0.085,0.17,0.193,0.63,0.088
